qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,expected_intraday_return,expected_return_utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity,return_validation_mae,return_validation_rank_ic
33,999.4994999999999,999.4900050000001,999.0,1000.01,999.99,32983.483499999995,32983.170165,-0.31333499999163905,-59.500101170608794,59.186766170617155,40.0,2.2758495514424997,8.245792541250001,0.06596665366499999,0.9895045049999999,7.609652919259649,-0.0017850030351182636,close_proxy,2026-04-17,2026-04-20,LIQUIDBEES,0.1850433647632599,1.3877393787674015,0.006310194730758667,4.532793594689,0.00043214285714283766,3.5436566905905087,1795.7001,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
33,1000.4899949999999,999.5,999.99,1001.76,1000.0,33016.16983499999,32983.5,-32.66983499999333,-91.85904132386118,59.18920632386785,40.0,2.2769886093075,8.245875,0.065999669835,0.9904850950499998,7.60985794967535,-0.002755771239715835,close_proxy,2026-04-17,2026-04-20,LIQUIDIETF,0.19850501418113708,1.0552627781580712,0.008071109652519226,3.9986401596897565,0.0007164357357859191,2.0866478580209127,201.18928808700002,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
33,1000.469985,999.4900050000001,999.97,1000.0,999.99,33015.509505,32983.170165,-32.33933999999863,-91.52840275543433,59.1890627554357,40.0,2.276954448615,8.245792541250001,0.06599867967,0.9904652851500001,7.6098518007507,-0.0027458520826630296,close_proxy,2026-04-17,2026-04-20,LIQUID,0.1773231029510498,0.8338205210830711,0.0062417685985565186,2.9142761493070597,7.000070000699324e-05,4.153533743501094,109.131408675,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
57,575.1874499999999,569.8149500000001,574.9,587.0,570.1,32785.684649999996,32479.452150000005,-306.232499999991,-365.258142432919,59.02564243292801,40.0,2.2516472195999997,8.119863037500002,0.0652651368,0.9835705394999998,7.605296499528,-0.010984424070973395,close_proxy,2026-04-20,2026-04-21,TRITURBINE,0.8460826873779297,7.5104077135065435,0.02169039100408554,3.1206308118673403,0.04689591907571775,15.263085695686705,3588.27581984,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
265,125.16254999999998,125.15739,125.1,125.77,125.22,33168.075749999996,33166.70835,-1.3673999999955413,-60.620943204806544,59.253543204811,40.0,2.2885500514499997,8.2916770875,0.06633478409999999,0.9950422724999999,7.611939009261,-0.0018230562727736606,close_proxy,2026-04-20,2026-04-21,GOLDBEES,0.26206517219543457,1.6354256571522898,0.013042658567428589,2.5810404065115855,0.02041714285714286,0.5170604904775772,410.2969,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
24,1368.684,1387.7058000000002,1368.0,1393.1,1388.4,32848.416,33304.93920000001,456.52320000001055,397.25225627461856,59.270943725392,40.0,2.2822907544,8.326234800000002,0.0661533552,0.98545248,7.610812335792,0.011946584453959986,close_proxy,2026-04-20,2026-04-21,ICICIBANK,0.3287239074707031,2.7529561090826586,0.013257429003715515,2.8267170168538147,0.02742958265742518,1.0444261161261823,2922.8171424,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
33,1000.4899949999999,999.4900050000001,999.99,1000.01,999.99,33016.16983499999,32983.170165,-32.99966999999015,-92.18878010769014,59.18911010769999,40.0,2.27697723,8.245792541250001,0.06599933999999999,0.9904850950499998,7.6098559014,-0.0027731930209182617,close_proxy,2026-04-21,2026-04-22,LIQUIDBEES,0.13943831622600555,0.8880966759179808,0.008437111973762512,4.236845872852286,0.002623597664548059,1.0185980387936808,565.322746716,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
23,1391.6954999999998,1395.1021,1391.0,1425.2,1395.8,32008.996499999994,32087.3483,78.35180000000764,19.496234488399637,58.855565511608006,40.0,2.2113238955999996,8.021837075,0.06409634479999998,0.9602698949999998,7.598038301208001,0.0005864794105557937,close_proxy,2026-04-21,2026-04-22,NESTLEIND,0.62356036901474,4.688816247832396,0.01808284968137741,3.652088951365397,0.025591916598511285,5.35798915509816,1322.84320485,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
43,770.08485,756.6215000000001,769.7,773.85,757.0,33113.64855,32534.724500000004,-578.9240499999942,-637.9893342214096,59.0652842214155,40.0,2.2648688702249995,8.133681125,0.06564837304999999,0.9934094565,7.6076763966405,-0.019191788491141063,close_proxy,2026-04-21,2026-04-22,VEDL,0.39104148745536804,3.2097504108318913,0.015612661838531494,2.877715464170687,0.03210000745212016,1.7634949448158042,2343.54216168,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
35,919.4594999999999,946.5697633575,919.0,957.0,913.3,32181.082499999997,33129.9417175125,948.8592175125013,889.6871767880108,59.17204072449058,40.0,2.253230335504181,8.282485429378125,0.06531102421751249,0.965432475,7.605581460390753,0.026955369937540993,take_profit,2026-04-22,2026-04-23,ARE&M,0.8499118685722351,7.331671910670831,0.022224314510822296,3.637329228906645,0.03923127056541988,15.042190385623645,3156.09204592,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269689686110325
